Dataset: Wine,,,,,,,,,
Dataset: Heart_Disease,,,,,,,,,
Algorithm,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
LogitBoost,0.616 ± 0.193,0.64 ± 0.077,0.561 ± 0.11,0.62 ± 0.143,0.361 ± 0.21,0.305 ± 0.188,0.64 ± 0.077,0.616 ± 0.193,0.425 ± 0.163
MEBoost,0.696 ± 0.04,0.556 ± 0.008,0.409 ± 0.016,0.439 ± 0.043,0.14 ± 0.074,0.066 ± 0.042,0.556 ± 0.008,0.696 ± 0.04,0.244 ± 0.041
AdaBoost,0.504 ± 0.122,0.62 ± 0.053,0.522 ± 0.078,0.552 ± 0.098,0.337 ± 0.145,0.28 ± 0.136,0.62 ± 0.053,0.504 ± 0.122,0.398 ± 0.141
RUSBoost,0.556 ± 0.079,0.589 ± 0.005,0.516 ± 0.016,0.52 ± 0.015,0.325 ± 0.021,0.302 ± 0.028,0.589 ± 0.005,0.556 ± 0.079,0.316 ± 0.014
GradientBoostingC,0.528 ± 0.09,0.596 ± 0.036,0.497 ± 0.056,0.542 ± 0.076,0.276 ± 0.114,0.21 ± 0.093,0.596 ± 0.036,0.528 ± 0.09,0.31 ± 0.071
XGBClassifier,0.5 ± 0.033,0.522 ± 0.013,0.509 ± 0.025,0.511 ± 0.023,0.244 ± 0.036,0.243 ± 0.037,0.522 ± 0.013,0.5 ± 0.033,0.263 ± 0.033
CatBoost,0.506 ± 0.02,0.556 ± 0.025,0.524 ± 0.022,0.529 ± 0.021,0.273 ± 0.031,0.268 ± 0.033,0.556 ± 0.025,0.506 ± 0.02,0.291 ± 0.01
SMOTEBoost,0.55 ± 0.014,0.508 ± 0.054,0.514 ± 0.024,0.527 ± 0.029,0.27 ± 0.036,0.262 ± 0.035,0.508 ± 0.054,0.55 ± 0.014,0.3 ± 0.03
,,,,,,,,,
Dataset: Car_Evaluation,,,,,,,,,
Algorithm,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
LogitBoost,0.906 ± 0.007,0.848 ± 0.004,0.836 ± 0.006,0.857 ± 0.005,0.71 ± 0.009,0.686 ± 0.009,0.848 ± 0.004,0.906 ± 0.007,0.531 ± 0.028
MEBoost,0.85 ± 0.013,0.659 ± 0.048,0.663 ± 0.043,0.71 ± 0.033,0.46 ± 0.055,0.393 ± 0.065,0.659 ± 0.048,0.85 ± 0.013,0.398 ± 0.019
AdaBoost,0.882 ± 0.007,0.876 ± 0.003,0.866 ± 0.004,0.879 ± 0.004,0.737 ± 0.005,0.731 ± 0.005,0.876 ± 0.003,0.882 ± 0.007,0.57 ± 0.026
RUSBoost,0.812 ± 0.002,0.472 ± 0.011,0.479 ± 0.014,0.587 ± 0.009,0.309 ± 0.01,0.216 ± 0.012,0.472 ± 0.011,0.812 ± 0.002,0.339 ± 0.004
GradientBoostingC,0.88 ± 0.003,0.844 ± 0.005,0.818 ± 0.004,0.823 ± 0.003,0.663 ± 0.009,0.654 ± 0.009,0.844 ± 0.005,0.88 ± 0.003,0.448 ± 0.002
XGBClassifier,0.974 ± 0.008,0.974 ± 0.007,0.974 ± 0.008,0.974 ± 0.008,0.943 ± 0.016,0.943 ± 0.016,0.974 ± 0.007,0.974 ± 0.008,0.892 ± 0.043
CatBoost,0.954 ± 0.008,0.954 ± 0.007,0.953 ± 0.008,0.954 ± 0.008,0.899 ± 0.017,0.899 ± 0.017,0.954 ± 0.007,0.954 ± 0.008,0.862 ± 0.028
SMOTEBoost,0.821 ± 0.008,0.795 ± 0.016,0.798 ± 0.008,0.807 ± 0.005,0.585 ± 0.001,0.575 ± 0.006,0.795 ± 0.016,0.821 ± 0.008,0.706 ± 0.026
,,,,,,,,,
Dataset: Thyroid_Disease,,,,,,,,,
Algorithm,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
LogitBoost,0.953 ± 0.015,0.949 ± 0.017,0.947 ± 0.018,0.951 ± 0.016,0.89 ± 0.037,0.883 ± 0.04,0.949 ± 0.017,0.953 ± 0.015,0.885 ± 0.04
MEBoost,0.859 ± 0.011,0.833 ± 0.011,0.799 ± 0.019,0.846 ± 0.011,0.624 ± 0.03,0.579 ± 0.03,0.833 ± 0.011,0.859 ± 0.011,0.678 ± 0.024
AdaBoost,0.965 ± 0.021,0.963 ± 0.024,0.961 ± 0.025,0.964 ± 0.022,0.92 ± 0.051,0.915 ± 0.055,0.963 ± 0.024,0.965 ± 0.021,0.919 ± 0.054
RUSBoost,0.857 ± 0.007,0.828 ± 0.006,0.766 ± 0.006,0.769 ± 0.007,0.611 ± 0.018,0.55 ± 0.012,0.828 ± 0.006,0.857 ± 0.007,0.615 ± 0.011
GradientBoostingC,0.961 ± 0.01,0.958 ± 0.012,0.957 ± 0.012,0.959 ± 0.011,0.91 ± 0.026,0.905 ± 0.029,0.958 ± 0.012,0.961 ± 0.01,0.91 ± 0.028
XGBClassifier,0.946 ± 0.009,0.944 ± 0.011,0.941 ± 0.013,0.945 ± 0.01,0.88 ± 0.023,0.875 ± 0.028,0.944 ± 0.011,0.946 ± 0.009,0.887 ± 0.037
CatBoost,0.965 ± 0.011,0.963 ± 0.013,0.962 ± 0.014,0.964 ± 0.012,0.92 ± 0.028,0.917 ± 0.031,0.963 ± 0.013,0.965 ± 0.011,0.924 ± 0.037
SMOTEBoost,0.83 ± 0.019,0.795 ± 0.023,0.725 ± 0.022,0.726 ± 0.023,0.531 ± 0.054,0.481 ± 0.044,0.795 ± 0.023,0.83 ± 0.019,0.629 ± 0.019
,,,,,,,,,
Dataset: Yeast,,,,,,,,,
Algorithm,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
LogitBoost,0.696 ± 0.054,0.528 ± 0.067,0.483 ± 0.089,0.592 ± 0.069,0.434 ± 0.088,0.356 ± 0.098,0.528 ± 0.067,0.696 ± 0.054,0.497 ± 0.134
MEBoost,0.718 ± 0.09,0.323 ± 0.008,0.164 ± 0.012,0.173 ± 0.023,0.09 ± 0.031,0.024 ± 0.018,0.323 ± 0.008,0.718 ± 0.09,0.252 ± 0.055
AdaBoost,0.649 ± 0.039,0.598 ± 0.035,0.582 ± 0.039,0.611 ± 0.037,0.486 ± 0.049,0.466 ± 0.049,0.598 ± 0.035,0.649 ± 0.039,0.534 ± 0.071
