Dataset: Yeast;;;;;;;;;;
Preprocessor;Boosters;Precision;Recall;F1;G-mean;MMCC;Kappa;Weighted Accuracy;PR Score;Balanced Accuracy
minmax;MEBoost;0,916;0,912;0,906;0,914;0,806;0,798;0,912;0,916;0,839
minmax;AdaBoost;0,979;0,977;0,976;0,978;0,950;0,947;0,977;0,979;0,948
minmax;RUSBoost;0,850;0,823;0,761;0,763;0,596;0,546;0,823;0,850;0,620
minmax;GradientBoostingClassifier;0,978;0,977;0,976;0,977;0,950;0,949;0,977;0,978;0,950
robust;LogitBoost;0,970;0,968;0,966;0,969;0,931;0,927;0,968;0,970;0,937
robust;MEBoost;0,916;0,912;0,906;0,914;0,806;0,797;0,912;0,916;0,832
robust;AdaBoost;0,974;0,972;0,971;0,973;0,940;0,937;0,972;0,974;0,939
robust;RUSBoost;0,846;0,819;0,757;0,759;0,583;0,531;0,819;0,846;0,611
robust;GradientBoostingClassifier;0,973;0,972;0,971;0,973;0,941;0,938;0,972;0,973;0,941
normalizer;LogitBoost;0,983;0,981;0,981;0,982;0,960;0,958;0,981;0,983;0,957
normalizer;MEBoost;0,945;0,940;0,934;0,942;0,870;0,860;0,940;0,945;0,868
normalizer;AdaBoost;0,979;0,977;0,975;0,978;0,951;0,946;0,977;0,979;0,946
normalizer;RUSBoost;0,932;0,926;0,922;0,929;0,842;0,836;0,926;0,932;0,876
normalizer;GradientBoostingClassifier;0,991;0,991;0,991;0,991;0,980;0,980;0,991;0,991;0,980
power;LogitBoost;0,974;0,972;0,971;0,973;0,940;0,937;0,972;0,974;0,939
power;MEBoost;0,957;0,954;0,952;0,955;0,900;0,894;0,954;0,957;0,896
power;AdaBoost;0,974;0,972;0,971;0,973;0,940;0,937;0,972;0,974;0,939
power;RUSBoost;0,846;0,819;0,757;0,759;0,583;0,531;0,819;0,846;0,611
power;GradientBoostingClassifier;0,973;0,972;0,971;0,973;0,941;0,938;0,972;0,973;0,941
quantile;LogitBoost;0,965;0,963;0,962;0,964;0,920;0,916;0,963;0,965;0,927
quantile;MEBoost;0,880;0,865;0,855;0,873;0,701;0,683;0,865;0,880;0,768
quantile;AdaBoost;0,974;0,972;0,971;0,973;0,940;0,937;0,972;0,974;0,939
quantile;RUSBoost;0,849;0,823;0,761;0,762;0,597;0,552;0,823;0,849;0,628
quantile;GradientBoostingClassifier;0,978;0,977;0,976;0,977;0,950;0,949;0,977;0,978;0,950
polynomial;LogitBoost;0,979;0,977;0,976;0,978;0,950;0,947;0,977;0,979;0,948
polynomial;MEBoost;0,962;0,958;0,956;0,960;0,910;0,904;0,958;0,962;0,907
polynomial;AdaBoost;0,991;0,991;0,991;0,991;0,980;0,980;0,991;0,991;0,980
polynomial;RUSBoost;0,871;0,860;0,846;0,866;0,683;0,650;0,860;0,871;0,714
polynomial;GradientBoostingClassifier;0,982;0,981;0,981;0,982;0,961;0,959;0,981;0,982;0,961
kbins;LogitBoost;0,926;0,921;0,918;0,923;0,828;0,819;0,921;0,926;0,853
kbins;MEBoost;0,913;0,907;0,903;0,910;0,797;0,787;0,907;0,913;0,833
kbins;AdaBoost;0,939;0,935;0,932;0,937;0,859;0,852;0,935;0,939;0,877
kbins;RUSBoost;0,881;0,800;0,803;0,838;0,629;0,604;0,800;0,881;0,721
kbins;GradientBoostingClassifier;0,943;0,940;0,938;0,941;0,870;0,864;0,940;0,943;0,894
Dataset: Pen-Based_Recognition_of_Handwritten_Digits;;;;;;;;;;
Preprocessor;Boosters;Precision;Recall;F1;G-mean;MMCC;Kappa;Weighted Accuracy;PR Score;Balanced Accuracy
standard;LogitBoost;0,947;0,905;0,916;0,926;0,900;0,895;0,905;0,947;0,905
standard;MEBoost;0,793;0,125;0,070;0,150;0,057;0,024;0,125;0,793;0,124
standard;AdaBoost;0,923;0,908;0,911;0,915;0,899;0,898;0,908;0,923;0,907
standard;RUSBoost;0,523;0,482;0,387;0,502;0,440;0,423;0,482;0,523;0,472
standard;GradientBoostingClassifier;0,880;0,776;0,800;0,824;0,766;0,750;0,776;0,880;0,774
minmax;LogitBoost;0,948;0,906;0,916;0,926;0,900;0,895;0,906;0,948;0,906
minmax;MEBoost;0,844;0,134;0,053;0,135;0,080;0,034;0,134;0,844;0,131
minmax;AdaBoost;0,924;0,909;0,912;0,916;0,900;0,898;0,909;0,924;0,908
minmax;RUSBoost;0,524;0,482;0,388;0,502;0,441;0,423;0,482;0,524;0,472
minmax;GradientBoostingClassifier;0,880;0,776;0,800;0,824;0,766;0,751;0,776;0,880;0,774
robust;LogitBoost;0,945;0,901;0,912;0,923;0,895;0,890;0,901;0,945;0,901
robust;MEBoost;0,845;0,134;0,054;0,136;0,080;0,034;0,134;0,845;0,131
robust;AdaBoost;0,922;0,906;0,909;0,914;0,897;0,895;0,906;0,922;0,905
robust;RUSBoost;0,523;0,482;0,388;0,502;0,441;0,423;0,482;0,523;0,473
robust;GradientBoostingClassifier;0,879;0,773;0,798;0,822;0,763;0,747;0,773;0,879;0,771
normalizer;LogitBoost;0,947;0,902;0,913;0,924;0,896;0,891;0,902;0,947;0,901
normalizer;MEBoost;0,806;0,133;0,060;0,148;0,084;0,034;0,133;0,806;0,132
normalizer;AdaBoost;0,928;0,909;0,913;0,918;0,901;0,898;0,909;0,928;0,908
normalizer;RUSBoost;0,652;0,493;0,427;0,508;0,462;0,435;0,493;0,652;0,484
normalizer;GradientBoostingClassifier;0,877;0,761;0,790;0,815;0,752;0,734;0,761;0,877;0,760
power;LogitBoost;0,946;0,904;0,914;0,924;0,898;0,893;0,904;0,946;0,904
power;MEBoost;0,855;0,158;0,106;0,192;0,155;0,060;0,158;0,855;0,156
power;AdaBoost;0,923;0,907;0,910;0,915;0,898;0,897;0,907;0,923;0,907
power;RUSBoost;0,525;0,482;0,388;0,502;0,441;0,423;0,482;0,525;0,472
power;GradientBoostingClassifier;0,880;0,776;0,800;0,824;0,766;0,750;0,776;0,880;0,774
quantile;LogitBoost;0,947;0,904;0,915;0,925;0,898;0,893;0,904;0,947;0,904
quantile;MEBoost;0,792;0,170;0,118;0,204;0,160;0,074;0,170;0,792;0,168
quantile;AdaBoost;0,922;0,907;0,910;0,915;0,898;0,896;0,907;0,922;0,906
quantile;RUSBoost;0,523;0,480;0,386;0,501;0,439;0,421;0,480;0,523;0,471
quantile;GradientBoostingClassifier;0,879;0,775;0,800;0,824;0,765;0,750;0,775;0,879;0,773
polynomial;LogitBoost;0,963;0,942;0,947;0,952;0,937;0,935;0,942;0,963;0,942
polynomial;MEBoost;0,894;0,260;0,230;0,311;0,305;0,175;0,260;0,894;0,261
polynomial;AdaBoost;0,971;0,967;0,968;0,969;0,964;0,964;0,967;0,971;0,967
polynomial;RUSBoost;0,630;0,533;0,491;0,577;0,494;0,480;0,533;0,630;0,527
polynomial;GradientBoostingClassifier;0,916;0,870;0,881;0,892;0,860;0,855;0,870;0,916;0,870
Dataset: Hayes_Roth;;;;;;;;;;
Preprocessor;Boosters;Precision;Recall;F1;G-mean;MMCC;Kappa;Weighted Accuracy;PR Score;Balanced Accuracy
standard;LogitBoost;0,913;0,893;0,891;0,903;0,848;0,836;0,893;0,913;0,908
standard;MEBoost;0,790;0,596;0,553;0,678;0,457;0,354;0,596;0,790;0,553
standard;AdaBoost;0,902;0,862;0,857;0,881;0,815;0,789;0,862;0,902;0,882
standard;RUSBoost;0,609;0,519;0,489;0,560;0,250;0,226;0,519;0,609;0,478
standard;GradientBoostingClassifier;0,884;0,878;0,878;0,881;0,816;0,812;0,878;0,884;0,890
minmax;LogitBoost;0,913;0,893;0,891;0,903;0,848;0,836;0,893;0,913;0,908
minmax;MEBoost;0,800;0,619;0,579;0,697;0,484;0,388;0,619;0,800;0,563
minmax;AdaBoost;0,902;0,862;0,857;0,881;0,815;0,789;0,862;0,902;0,882
minmax;RUSBoost;0,609;0,519;0,489;0,560;0,250;0,226;0,519;0,609;0,478
minmax;GradientBoostingClassifier;0,884;0,878;0,878;0,881;0,816;0,812;0,878;0,884;0,890
robust;LogitBoost;0,913;0,893;0,891;0,903;0,848;0,836;0,893;0,913;0,908
robust;MEBoost;0,800;0,619;0,579;0,697;0,484;0,388;0,619;0,800;0,563
robust;AdaBoost;0,902;0,862;0,857;0,881;0,815;0,789;0,862;0,902;0,882
robust;RUSBoost;0,609;0,519;0,489;0,560;0,250;0,226;0,519;0,609;0,478
robust;GradientBoostingClassifier;0,884;0,878;0,878;0,881;0,816;0,812;0,878;0,884;0,890
normalizer;LogitBoost;0,877;0,855;0,852;0,866;0,791;0,776;0,855;0,877;0,870
normalizer;MEBoost;0,748;0,542;0,490;0,627;0,361;0,265;0,542;0,748;0,497
normalizer;AdaBoost;0,886;0,862;0,859;0,874;0,801;0,787;0,862;0,886;0,866
normalizer;RUSBoost;0,711;0,626;0,617;0,665;0,442;0,406;0,626;0,711;0,607
normalizer;GradientBoostingClassifier;0,896;0,878;0,875;0,887;0,822;0,810;0,878;0,896;0,883
